epoch,date,node,ts2,component,severity,dt,template_id,delta_s,hour
1117838570,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.42.50.675872,KERNEL,INFO,2005-06-03 15:42:50.675872,1,0.0,15
1117838573,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.42.53.276129,KERNEL,INFO,2005-06-03 15:42:53.276129,1,2.600257,15
1117838976,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.49.36.156884,KERNEL,INFO,2005-06-03 15:49:36.156884,1,402.880755,15
1117838978,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.49.38.026704,KERNEL,INFO,2005-06-03 15:49:38.026704,1,1.86982,15
1117842440,2005.06.03,R23-M0-NE-C:J05-U01,2005-06-03-16.47.20.730545,KERNEL,INFO,2005-06-03 16:47:20.730545,2,3462.703841,16
1117842974,2005.06.03,R24-M0-N1-C:J13-U11,2005-06-03-16.56.14.254137,KERNEL,INFO,2005-06-03 16:56:14.254137,2,533.523592,16
1117843015,2005.06.03,R21-M1-N6-C:J08-U11,2005-06-03-16.56.55.309974,KERNEL,INFO,2005-06-03 16:56:55.309974,2,41.055837,16
1117848119,2005.06.03,R16-M1-N2-C:J17-U01,2005-06-03-18.21.59.871925,KERNEL,INFO,2005-06-03 18:21:59.871925,3,5104.561951,18
1117942120,2005.06.04,R30-M0-N7-C:J08-U01,2005-06-04-20.28.40.767551,KERNEL,INFO,2005-06-04 20:28:40.767551,3,94000.895626,20
1117955341,2005.06.05,R25-M0-N7-C:J02-U01,2005-06-05-00.09.01.903373,KERNEL,INFO,2005-06-05 00:09:01.903373,4,13221.135822,0
1117955392,2005.06.05,R24-M1-N8-C:J09-U11,2005-06-05-00.09.52.516674,KERNEL,INFO,2005-06-05 00:09:52.516674,4,50.613301,0
1117956980,2005.06.05,R24-M1-NB-C:J15-U11,2005-06-05-00.36.20.945796,KERNEL,INFO,2005-06-05 00:36:20.945796,4,1588.429122,0
