UMAP1,UMAP2
11.714757,17.309319
11.731305,17.254078
5.9563885,-9.553672
11.684012,17.266113
-4.2340837,-4.5883064
6.4057035,-10.557347
14.333601,4.6940475
-5.0960946,-3.2395234
-1.8643346,13.772381
-2.821396,4.042236
16.373152,1.8953853
-1.6724539,-7.848097
15.353396,0.43687734
-3.4152663,-5.659212
9.811414,13.484158
16.37745,1.9144582
-2.7004511,4.2615795
14.430291,9.679096
7.059612,-2.1716375
4.136842,-6.0334015
3.9408567,-5.535581
0.9958599,-10.059971
-1.3933254,-8.139392
0.6678306,-9.859155
-2.063791,-7.3869457
-4.2115912,-4.6186905
-1.5700084,-7.95967
9.875951,15.361118
12.302102,-2.5421264
14.539166,8.948505
-0.7750623,-8.721313
10.812996,13.720372
15.848404,2.7793138
14.686127,-0.33446696
11.064234,13.378857
-2.3263886,-7.072637
0.6402596,-9.839813
13.07463,10.062618
7.1900806,-2.1857564
14.112843,9.245501
-0.4170252,-9.028192
13.944171,9.464598
13.102413,10.050432
15.643716,3.4814885
12.230849,12.203126
10.281132,15.249326
12.222735,12.24938
-0.9727422,-8.545633
14.875294,0.19830947
14.263727,8.845086
13.961319,9.192046
15.298621,5.3511415
-1.5196834,-8.013715
14.773169,6.880725
-0.53923213,12.500789
9.717295,15.424889
-6.008401,-0.5326448
4.120711,-2.9857645
-0.33503237,-9.093181
15.498954,0.97393054
6.015854,-9.70114
6.3951125,-2.3251915
4.520589,-6.6991177
14.315221,-0.757309
-4.2113028,7.775778
12.298713,17.798595
11.377955,-2.224579
-2.5371401,-6.8088555
-6.0288463,-0.7908624
-3.8375578,7.1624374
13.047933,11.408006
8.478025,15.508868
3.3818018,-3.9665856
15.657124,5.5170937
-3.3281548,6.515634
10.748253,16.354328
12.538853,-2.443417
13.60792,9.043875
12.746926,9.394686
6.4387197,-10.615137
-5.4807434,0.6274036
14.094957,0.04093392
-5.745196,0.21729623
-2.6512797,4.346641
10.7185755,9.588873
-4.609463,8.937252
-3.048253,6.1445794
-2.7067604,4.229624
-4.8063807,-3.7224174
12.441186,17.920061
-3.3872948,-5.6925473
-6.0175924,-0.58555174
-4.5891633,8.8916235
15.015408,5.3593335
6.168319,-2.3499715
-5.8971677,-1.5022296
-3.8405485,-5.1004763
12.5823,9.052728
-5.8768744,-0.07437274
-5.9902344,-1.0979675
11.313683,8.940624
-4.132168,14.945119
-2.873396,3.9635804
-5.6768174,0.33035773
14.2129965,4.6871495
6.66679,-2.519225
11.265224,-2.3290894
14.005748,1.655982
14.058557,2.1285233
13.987931,0.8808545
-3.3307245,6.5199304
-3.7853327,7.0916033
13.9620495,9.814387
10.411913,14.2240925
14.696199,9.235332
-5.937097,-1.3795695
14.575792,-0.43580776
15.720437,3.175526
14.501135,8.752342
14.792419,7.0275464
3.6520922,-4.7798386
14.327806,9.011662
13.029293,9.986632
6.6286755,-11.364647
10.441969,-2.8407955
12.659373,-2.4687798
14.87199,6.8082094
3.6552217,-4.8589797
15.001059,6.389107
15.457421,0.86199206
6.6097636,-11.239394
15.735843,2.438222
15.379385,5.0514693
15.6541195,3.4874308
10.5696335,15.545863
13.409337,9.758961
4.5874453,-2.5765455
-0.53279334,-8.930214
15.222908,5.481872
15.355368,5.093247
14.523935,8.415726
10.4726925,16.615335
11.356444,14.19244
14.336808,-0.7048243
15.618976,3.343134
10.834244,15.114058
10.225108,-2.8185537
4.508964,-2.62554
10.715103,15.324271
10.411748,16.400703
10.53866,15.853941
14.457237,8.586211
14.369682,-0.6519281
7.4402614,-2.1538217
11.068584,14.732824
14.349834,-0.65259033
14.81822,0.12883022
3.5840876,-4.669087
12.937693,9.852196
12.92209,9.874031
4.027176,-5.801418
14.935547,6.526293
14.912123,6.6523733
11.375839,14.131987
10.44205,16.662031
10.670439,15.449779
10.708186,15.349877
15.440091,0.84703
11.324156,14.324725
11.41638,14.0133
12.090071,12.221316
6.0532994,-2.3141708
15.421269,4.5616
14.1610155,8.936633
15.667354,2.281752
13.655972,9.401894
15.497103,0.9340729
10.6924095,15.355455
15.3033695,5.1485906
11.4076395,14.08087
15.298439,5.2704096
9.7963295,-2.8008342
6.0789895,-2.2744052
13.310338,9.708277
14.123859,9.00122
14.876412,6.7210803
10.767887,15.188652
11.353465,14.195919
10.673766,15.360711
15.665865,2.3211656
14.836869,6.7320414
14.880658,6.4704514
11.455378,14.016323
15.633599,2.3475542
10.490072,16.708061
14.088397,8.803812
15.150573,5.556743
5.8139343,-2.287588
3.8585916,-5.373795
11.977988,12.303319
4.6200733,-2.5530365
15.179548,5.559688
14.733432,0.07336325
15.552282,2.8773098
10.380569,-2.7978437
12.055134,12.151993
3.5094264,-3.761704
4.5498075,-2.5959795
3.837567,-3.3163865
7.624867,-2.1569395
11.21896,14.567356
12.834567,9.733122
14.860286,6.5788093
10.530617,16.70248
14.236235,8.684374
10.520343,16.516415
12.897062,9.762989
12.888098,9.817838
15.565882,1.3171076
14.388947,-0.40484008
14.461739,8.454123
-5.821039,0.083683655
0.03444315,-9.385898
-5.397078,0.7301055
-2.700096,4.239882
6.522115,-10.779146
6.535349,-10.873304
4.230373,-6.2030983
-1.159509,-8.367977
4.4067388,-6.516117
-4.216439,7.7812905
13.281738,11.061157
-3.4460986,-5.6035686
-5.468327,-2.5896747
4.2493234,-6.2428713
12.585441,-2.4865239
14.885027,6.7609277
15.51017,4.3896284
10.072505,16.038397
3.4124916,-3.8475053
5.004147,-2.342414
-5.8757334,-1.532864
-0.33094627,9.800984
-3.7396884,-5.2306523
13.332125,11.1444845
9.811697,13.487716
